severity,layer,check,result,detail
PASS,schema,label y_dep_ge15 present,yes,
PASS,schema,label y_dep_ge30 present,yes,
PASS,schema,label y_dep_ge60 present,yes,
PASS,schema,label y_dep_ge120 present,yes,
PASS,schema,old v10 y_dep_ge45 absent,yes,
PASS,schema,flightnum_od_otp_rate_last14d present,yes,
PASS,schema,dropped origin_nasdelay_rate_last1d absent,yes,
PASS,schema,airline_cancel_rate_anomaly_7d absent per smoke flag,yes,
INFO,schema,feature-ish column count,130,total cols 143
PASS,range,"flightnum_od_otp_rate_last14d ∈ [0, 1]",yes,nonnull=92.8%
PASS,range,"origin_lateaircraft_rate_last1 ∈ [0, 1]",yes,
PASS,range,"origin_lateaircraft_rate_last7 ∈ [0, 1]",yes,
PASS,range,"origin_lateaircraft_rate_last14 ∈ [0, 1]",yes,
PASS,range,"carrier_lateaircraft_rate_last1 ∈ [0, 1]",yes,
PASS,range,"carrier_lateaircraft_rate_last7 ∈ [0, 1]",yes,
PASS,range,"carrier_lateaircraft_rate_last14 ∈ [0, 1]",yes,
PASS,range,"dest_lateaircraft_rate_last1 ∈ [0, 1]",yes,
PASS,range,"dest_lateaircraft_rate_last7 ∈ [0, 1]",yes,
PASS,range,"dest_lateaircraft_rate_last14 ∈ [0, 1]",yes,
PASS,range,"hub_0_lateaircraft_rate_last1 ∈ [0, 1]",yes,
PASS,range,"hub_0_lateaircraft_rate_last7 ∈ [0, 1]",yes,
PASS,range,"hub_0_lateaircraft_rate_last14 ∈ [0, 1]",yes,
PASS,range,"hub_1_lateaircraft_rate_last1 ∈ [0, 1]",yes,
PASS,range,"hub_1_lateaircraft_rate_last7 ∈ [0, 1]",yes,
PASS,range,"hub_1_lateaircraft_rate_last14 ∈ [0, 1]",yes,
PASS,range,"hub_2_lateaircraft_rate_last1 ∈ [0, 1]",yes,
PASS,range,"hub_2_lateaircraft_rate_last7 ∈ [0, 1]",yes,
PASS,range,"hub_2_lateaircraft_rate_last14 ∈ [0, 1]",yes,
PASS,range,"hub_3_lateaircraft_rate_last1 ∈ [0, 1]",yes,
PASS,range,"hub_3_lateaircraft_rate_last7 ∈ [0, 1]",yes,
PASS,range,"hub_3_lateaircraft_rate_last14 ∈ [0, 1]",yes,
PASS,range,"hub_4_lateaircraft_rate_last1 ∈ [0, 1]",yes,
PASS,range,"hub_4_lateaircraft_rate_last7 ∈ [0, 1]",yes,
PASS,range,"hub_4_lateaircraft_rate_last14 ∈ [0, 1]",yes,
PASS,range,"hub_max_lateaircraft_last1 ∈ [0, 1]",yes,
PASS,range,label base rates monotone,0.3324 >= 0.2100 >= 0.1043 >= 0.0329,
PASS,range,y_dep_ge15 plausible (20%-50%),0.3324,
PASS,range,y_dep_ge120 plausible (1%-10%),0.0329,
PASS,range,y_dep_ge120 implies y_dep_ge60,yes,
PASS,invariant,origin_lateaircraft_rate v11<=v10 (stricter threshold),yes,n=3566347 v11 mean=0.1390 v10 mean=0.1847
PASS,semantic,OTP rate manual re-derivation,5/5 match within 0.05,
PASS,semantic,OTP computable on first target day (leakage proxy),99.2% nonnull on 2025-06-01,
PASS,distribution,OTP rate coverage 88-98%,92.8%,
PASS,distribution,"OTP rate median in [0.5, 0.9]",0.7143,
