variant,label,log_loss,auc,n_test,best_iter
baseline,y_dep_ge15,0.5171044165130689,0.7832009888782041,9988,199
dow_cat,y_dep_ge15,0.5162343407937576,0.7843704654269045,9988,199
hour_cat,y_dep_ge15,0.5185986336222206,0.7813435315933271,9988,199
peak_cat,y_dep_ge15,0.5170189316622278,0.7832133698103712,9988,199
all_three_cat,y_dep_ge15,0.5177500070349332,0.782290604877017,9988,199
baseline,y_dep_ge60,0.2713379791413,0.8029269063400256,9988,199
dow_cat,y_dep_ge60,0.2715387557252359,0.8016387489303195,9988,198
hour_cat,y_dep_ge60,0.2717430439260397,0.8003546399215441,9988,199
peak_cat,y_dep_ge60,0.27168165107686876,0.80166982314287,9988,199
all_three_cat,y_dep_ge60,0.271691045784079,0.8007347519440804,9988,198
