feature,label,pointbiserial_r,auc,n
origin_lateaircraft_rate_last1,y_dep_ge15,0.07685792564200725,0.5469899700916737,42727
origin_lateaircraft_rate_last1,y_dep_ge60,0.06112582983480814,0.5615522006974076,42727
origin_lateaircraft_rate_last1,y_dep_ge120,0.03656385632679903,0.5686766242842761,42727
origin_la_rate_v11,y_dep_ge15,0.07499253448676992,0.5456337992333784,42727
origin_la_rate_v11,y_dep_ge60,0.06072354298318561,0.5625917785037418,42727
origin_la_rate_v11,y_dep_ge120,0.03494789536842795,0.5709469395884952,42727
carrier_lateaircraft_rate_last1,y_dep_ge15,0.05549596252196216,0.53268489752197,42727
carrier_lateaircraft_rate_last1,y_dep_ge60,0.0360977774630952,0.5295532118178087,42727
carrier_lateaircraft_rate_last1,y_dep_ge120,0.019971390421386775,0.5244164208270155,42727
carrier_la_rate_v11,y_dep_ge15,0.0504939093961356,0.5296778902673149,42727
carrier_la_rate_v11,y_dep_ge60,0.034661925087560594,0.5287270029803048,42727
carrier_la_rate_v11,y_dep_ge120,0.01847896380002226,0.5221419171307853,42727
